iter	Passed	Remaining
0	1	554
1	2	576
2	3	557
3	4	537
4	5	533
5	6	530
6	7	525
7	8	539
8	10	567
9	11	573
10	12	572
11	14	569
12	15	564
13	16	567
14	17	563
15	18	554
16	19	547
17	20	548
18	21	550
19	22	551
20	24	547
21	25	543
22	26	540
23	27	537
24	28	534
25	29	533
26	30	530
27	31	527
28	32	524
29	33	521
30	34	522
31	35	520
32	36	519
33	37	516
34	38	516
35	39	513
36	40	512
37	41	509
38	42	506
39	43	503
40	44	501
41	45	499
42	46	498
43	48	506
44	50	506
45	51	508
46	52	506
47	53	504
48	54	502
49	55	499
50	56	496
51	57	493
52	58	491
53	59	489
54	60	488
55	61	487
56	62	486
57	63	483
58	64	481
59	65	480
60	66	480
61	67	480
62	69	478
63	70	477
64	71	475
65	72	473
66	73	473
67	74	471
68	75	469
69	76	466
70	76	465
71	77	463
72	78	461
73	80	460
74	81	459
75	82	457
76	83	457
77	84	455
78	85	454
79	86	452
80	87	450
81	88	449
82	89	447
83	90	445
84	90	443
85	91	441
86	92	439
87	93	437
88	94	435
89	95	434
90	96	433
91	97	431
92	98	430
93	99	428
94	100	426
95	100	424
96	102	424
97	103	423
98	104	422
99	105	421
100	106	421
101	107	420
102	108	418
103	109	417
104	110	415
105	111	414
106	112	413
107	113	412
108	115	412
109	116	411
110	117	412
111	118	411
112	119	410
113	120	409
114	121	407
115	122	406
116	123	405
117	124	403
118	125	401
119	126	400
120	127	398
121	128	397
122	129	395
123	130	394
124	130	392
125	131	390
126	132	388
127	133	387
128	134	385
129	134	384
130	135	382
131	136	381
132	137	380
133	138	379
134	140	379
135	142	381
136	143	380
137	144	379
138	145	378
139	146	377
140	147	376
141	148	374
142	149	373
143	151	373
144	152	372
145	153	372
146	154	371
147	155	370
148	156	369
149	157	368
150	158	367
151	159	366
152	160	364
153	161	362
154	162	361
155	163	359
156	164	358
157	165	357
158	166	356
159	167	355
160	168	355
161	169	354
162	170	353
163	171	351
164	172	350
165	173	349
166	174	348
167	175	347
168	176	345
169	177	344
170	178	343
171	179	342
172	180	341
173	181	339
174	182	338
175	183	337
176	184	336
177	185	334
178	186	333
179	186	332
180	187	330
181	188	329
182	189	327
183	190	326
184	190	325
185	191	324
186	192	322
187	193	321
188	194	320
189	195	318
190	196	317
191	197	316
192	198	315
193	199	314
194	199	312
195	200	311
196	201	310
197	202	308
198	203	307
199	204	306
200	205	305
201	205	303
202	206	302
203	207	301
204	208	299
205	209	298
206	209	297
207	210	295
208	211	294
209	212	293
210	213	292
211	214	291
212	215	290
213	216	289
214	218	289
215	219	288
216	220	286
217	220	285
218	221	284
219	222	283
220	223	282
221	224	281
222	225	279
223	226	278
224	226	277
225	228	276
226	229	275
227	230	274
228	231	273
229	232	272
230	232	271
231	233	269
232	234	268
233	235	267
234	236	266
235	236	265
236	237	263
237	238	262
238	239	261
239	240	260
240	241	259
241	242	258
242	243	257
243	243	255
244	244	254
245	245	253
246	246	252
247	246	250
248	248	250
249	248	248
250	249	247
251	250	246
252	251	245
253	252	244
254	253	243
255	254	242
256	255	241
257	256	240
258	257	239
259	258	238
260	259	237
261	260	236
262	260	235
263	261	233
264	262	232
265	262	231
266	264	230
267	265	229
268	266	228
269	267	227
270	268	226
271	269	225
272	270	224
273	270	223
274	271	222
275	272	221
276	273	219
277	274	218
278	274	217
279	275	216
280	276	215
281	277	214
282	278	213
283	279	212
284	279	211
285	280	210
286	281	208
287	282	207
288	283	206
289	283	205
290	284	204
291	285	203
292	286	202
293	286	200
294	287	199
295	288	198
296	289	198
297	290	196
298	291	195
299	292	194
300	293	193
301	293	192
302	294	191
303	295	190
304	296	189
305	296	188
306	297	187
307	298	186
308	299	184
309	299	183
310	300	182
311	301	181
312	302	180
313	303	179
314	303	178
315	304	177
316	305	176
317	306	175
318	307	174
319	307	173
320	308	171
321	309	170
322	309	169
323	310	168
324	311	167
325	312	166
326	313	165
327	313	164
